Date,Price,Open,High,Low,Change %
2016-02-12,593.88,579.36,595.61,578.85,2.07%
2016-02-15,590.64,577.21,592.07,577.13,-0.55%
2016-02-16,598.955,588.09,600.345,585.99,1.41%
2016-02-17,599.015,579.2,601.355,579.2,0.01%
2016-02-18,601.735,588.99,603.665,588.62,0.45%
2016-02-19,605.0,585.1,607.66,581.57,0.54%
2016-02-22,605.73,583.49,607.44,583.43,0.12%
2016-02-23,605.045,594.22,606.395,588.52,-0.11%
2016-02-24,605.9,597.25,609.0,593.79,0.14%
2016-02-25,604.24,595.4,605.81,593.52,-0.27%
2016-02-26,608.3,595.13,609.77,589.95,0.67%
2016-02-29,607.23,597.35,609.98,596.4,-0.18%
2016-03-01,612.4,594.85,613.46,594.65,0.85%
2016-03-02,612.51,603.35,615.0,598.68,0.02%
2016-03-03,606.9,603.57,615.58,597.57,-0.92%
2016-03-04,608.23,597.9,611.24,593.95,0.22%
2016-03-07,604.4,597.74,608.16,594.7,-0.63%
2016-03-08,604.62,595.46,605.6,593.2,0.04%
2016-03-09,604.95,595.57,608.21,594.33,0.05%
2016-03-10,595.72,596.16,615.02,584.74,-1.53%
2016-03-11,596.775,586.83,597.625,581.94,0.18%
2016-03-14,599.69,587.45,601.07,587.45,0.49%
2016-03-15,599.37,590.63,600.86,586.38,-0.05%
2016-03-16,593.27,587.45,602.14,583.49,-1.02%
2016-03-17,588.42,584.22,596.45,575.96,-0.82%
2016-03-18,584.69,579.42,585.11,574.45,-0.63%
2016-03-21,592.38,583.12,592.96,578.05,1.32%
2016-03-22,593.63,583.59,595.25,581.0,0.21%
2016-03-23,589.17,584.89,590.38,584.27,-0.75%
2016-03-24,589.64,586.78,591.12,586.08,0.08%
2016-03-25,590.12,587.09,590.75,586.15,0.08%
2016-03-28,594.89,587.45,596.88,584.58,0.81%
2016-03-29,583.56,585.73,589.95,580.02,-1.90%
2016-03-30,581.15,581.11,584.02,577.17,-0.41%
2016-03-31,579.01,578.65,582.63,574.75,-0.37%
2016-04-01,578.61,576.41,581.35,573.44,-0.07%
2016-04-04,578.56,576.26,580.18,574.85,-0.01%
2016-04-05,578.76,575.91,581.25,575.0,0.03%
2016-04-06,583.64,576.36,588.01,573.84,0.84%
2016-04-07,588.0,574.64,588.0,572.79,0.75%
2016-04-08,584.0,577.22,586.99,574.34,-0.68%
2016-04-11,577.4,574.64,579.17,572.94,-1.13%
2016-04-12,578.71,575.1,580.59,572.09,0.23%
2016-04-13,584.43,576.31,584.85,574.64,0.99%
2016-04-14,584.8,581.93,586.51,580.0,0.06%
2016-04-15,583.97,582.24,585.83,578.0,-0.14%
2016-04-18,579.74,581.37,586.69,574.42,-0.72%
2016-04-19,580.13,579.21,581.76,575.0,0.07%
2016-04-20,583.25,577.53,583.66,576.0,0.54%
2016-04-21,583.66,580.8,584.54,575.7,0.07%
2016-04-22,585.595,581.26,590.285,578.7,0.33%
2016-04-25,584.85,578.7,586.09,578.7,-0.13%
2016-04-26,583.25,582.4,585.37,578.45,-0.27%
2016-04-27,582.02,580.6,584.38,577.63,-0.21%
2016-04-28,580.54,579.52,583.3,576.9,-0.25%
2016-04-29,575.24,577.88,581.3,572.17,-0.91%
2016-05-02,577.99,572.39,582.62,567.86,0.48%
2016-05-03,576.695,567.0,580.485,564.75,-0.22%
2016-05-04,573.64,568.0,574.64,567.86,-0.53%
2016-05-05,577.7,571.19,578.66,570.65,0.71%
2016-05-06,582.78,575.25,585.49,571.49,0.88%
2016-05-09,584.485,567.86,587.355,567.86,0.29%
2016-05-10,582.525,576.0,586.205,570.0,-0.34%
2016-05-11,582.745,575.7,586.475,572.01,0.04%
2016-05-12,585.5,572.43,586.27,567.05,0.47%
2016-05-13,589.03,572.43,590.32,572.43,0.60%
2016-05-16,588.26,579.83,588.98,578.12,-0.13%
2016-05-17,579.08,579.31,588.03,571.03,-1.56%
2016-05-18,589.74,579.93,592.88,578.84,1.84%
2016-05-19,587.465,579.93,588.775,579.93,-0.39%
2016-05-20,586.705,585.52,588.175,583.64,-0.13%
2016-05-23,593.37,585.47,595.3,580.21,1.14%
2016-05-24,590.665,584.53,591.095,584.1,-0.46%
2016-05-25,586.17,588.67,603.31,572.22,-0.76%
2016-05-26,587.92,586.72,590.22,584.74,0.30%
2016-05-27,592.465,585.89,592.935,585.0,0.77%
2016-05-30,591.44,590.0,593.57,588.46,-0.17%
2016-05-31,597.47,589.41,600.33,586.82,1.02%
2016-06-01,594.735,585.0,599.735,584.41,-0.46%
2016-06-02,590.725,585.0,591.205,584.68,-0.67%
2016-06-03,579.525,588.14,591.545,576.46,-1.90%
2016-06-06,580.205,576.97,581.635,575.0,0.12%
2016-06-07,586.0,577.53,588.5,575.0,1.00%
2016-06-08,578.245,575.42,580.275,573.36,-1.32%
2016-06-09,586.24,575.6,591.0,574.49,1.38%
2016-06-10,590.0,575.35,591.88,575.35,0.64%
2016-06-13,589.48,574.09,593.34,573.99,-0.09%
2016-06-14,587.87,580.0,589.72,580.0,-0.27%
2016-06-15,585.32,585.0,589.28,580.44,-0.43%
2016-06-16,586.8,581.14,591.89,581.14,0.25%
2016-06-17,587.87,584.22,588.05,581.14,0.18%
2016-06-20,582.34,583.9,586.52,577.48,-0.94%
2016-06-21,585.97,579.62,588.29,577.88,0.62%
2016-06-22,582.96,583.07,585.8,578.5,-0.51%
2016-06-23,585.16,578.96,588.72,574.29,0.38%
2016-06-24,599.63,576.41,609.86,573.79,2.47%
2016-06-27,597.595,584.55,600.575,584.55,-0.34%
2016-06-28,595.49,594.92,598.51,585.09,-0.35%
2016-06-29,598.44,592.66,604.0,584.1,0.50%
2016-06-30,599.58,589.47,603.86,582.31,0.19%
2016-07-01,597.41,590.42,601.34,587.0,-0.36%
2016-07-04,596.93,589.36,600.06,587.41,-0.08%
2016-07-05,601.13,587.83,601.88,586.51,0.70%
2016-07-06,599.85,592.02,603.43,589.41,-0.21%
2016-07-07,601.88,590.9,602.47,589.41,0.34%
2016-07-08,601.725,592.77,605.975,590.15,-0.03%
2016-07-11,600.235,589.41,605.015,589.41,-0.25%
2016-07-12,601.98,592.98,602.41,589.41,0.29%
2016-07-13,600.43,592.82,602.79,589.84,-0.26%
2016-07-14,592.34,591.27,596.08,587.41,-1.35%
2016-07-15,597.01,589.84,597.34,588.25,0.79%
2016-07-18,594.805,594.43,597.055,591.75,-0.37%
2016-07-19,597.69,592.13,598.99,591.59,0.49%
