Date,Price,Open,High,Low,Change %
1998-06-01,4.293688278231,0.2317,0.2329,0.2317,-0.04%
1998-07-01,4.258943781942079,0.232,0.2348,0.232,0.82%
1998-08-01,4.301075268817204,0.231,0.2325,0.231,-0.98%
1998-09-01,4.301075268817204,0.231,0.2325,0.231,0.00%
1998-10-01,4.273504273504273,0.2318,0.234,0.2318,0.65%
1998-11-01,4.25531914893617,0.233,0.235,0.233,0.43%
1998-12-01,4.273504273504273,0.2325,0.234,0.2325,-0.43%
1999-01-01,4.246284501061571,0.234,0.2355,0.234,0.64%
1999-02-01,4.2283298097251585,0.235,0.2365,0.235,0.42%
1999-03-01,4.1356492969396195,0.2403,0.2418,0.2403,2.24%
1999-04-01,3.9761431411530817,0.248,0.2515,0.248,4.01%
1999-05-01,4.110152075626798,0.2351,0.2433,0.2351,-3.26%
1999-06-01,3.9200313602508823,0.2528,0.2551,0.2528,4.85%
1999-07-01,3.8431975403535743,0.2576,0.2602,0.2576,2.00%
1999-08-01,3.7778617302606725,0.2625,0.2647,0.2625,1.73%
1999-09-01,3.695491500369549,0.2684,0.2706,0.2684,2.23%
1999-10-01,3.327787021630616,0.2965,0.3005,0.2965,11.05%
1999-11-01,2.9533372711163612,0.3333,0.3386,0.3333,12.68%
1999-12-01,2.8960324355632783,0.3388,0.3453,0.3388,1.98%
2000-01-01,2.8336639274582036,0.3463,0.3529,0.3463,2.20%
2000-02-01,2.6518164942985947,0.3729,0.3771,0.3729,6.86%
2000-03-01,2.464875523786049,0.3981,0.4057,0.3981,7.58%
2000-04-01,2.070393374741201,0.473,0.483,0.473,19.05%
2000-05-01,2.1164021164021167,0.465,0.4725,0.465,-2.17%
2000-06-01,1.8518518518518516,0.525,0.54,0.525,14.29%
2000-07-01,1.6460905349794237,0.5996,0.6075,0.5996,12.50%
2000-08-01,1.4184397163120568,0.695,0.705,0.695,16.05%
2000-09-01,1.5304560759106214,0.6426,0.6534,0.6426,-7.32%
2000-10-01,1.3793103448275863,0.71,0.725,0.71,10.96%
2000-11-01,1.400560224089636,0.703,0.714,0.703,-1.52%
2000-12-01,1.465201465201465,0.665,0.6825,0.665,-4.41%
2001-01-01,1.4494854326714017,0.6787,0.6899,0.6787,1.08%
2001-02-01,1.4253135689851768,0.6907,0.7016,0.6907,1.70%
2001-03-01,1.4184397163120568,0.69,0.705,0.69,0.48%
2001-04-01,1.4015416958654519,0.7032,0.7135,0.7032,1.21%
2001-05-01,1.3157894736842106,0.75,0.76,0.75,6.52%
2001-06-01,1.3987970345502867,0.7035,0.7149,0.7035,-5.93%
2001-07-01,1.3986013986013988,0.69,0.715,0.69,0.01%
2001-08-01,1.3854253255749516,0.7085,0.7218,0.7085,0.95%
2001-09-01,1.4104372355430184,0.695,0.709,0.695,-1.77%
2001-10-01,1.4035087719298245,0.7,0.7125,0.7,0.49%
2001-11-01,1.3793103448275863,0.715,0.725,0.715,1.75%
2001-12-01,1.3774104683195594,0.706,0.726,0.706,0.14%
2002-01-01,1.36518771331058,0.715,0.7325,0.715,0.90%
2002-02-01,1.3157894736842106,0.745,0.76,0.745,3.75%
2002-03-01,1.3029315960912053,0.76,0.7675,0.76,0.99%
2002-04-01,1.2562814070351758,0.785,0.796,0.785,3.71%
2002-05-01,1.2492192379762648,0.791,0.8005,0.791,0.57%
2002-06-01,1.2621481761958855,0.7818,0.7923,0.7818,-1.02%
2002-07-01,1.2360939431396785,0.798,0.809,0.798,2.11%
2002-08-01,1.2250398137939482,0.805,0.8163,0.805,0.90%
2002-09-01,1.2281994595922376,0.8037,0.8142,0.8037,-0.26%
2002-10-01,1.2106537530266344,0.817,0.826,0.817,1.45%
2002-11-01,1.1940298507462686,0.83,0.8375,0.83,1.39%
2002-12-01,1.1973180076628351,0.8256,0.8352,0.8256,-0.27%
2003-01-01,1.1940298507462686,0.8275,0.8375,0.8275,0.28%
2003-02-01,1.2048192771084338,0.82,0.83,0.82,-0.90%
2003-03-01,1.1940298507462686,0.8275,0.8375,0.8275,0.90%
2003-04-01,1.1580775911986103,0.852,0.8635,0.852,3.10%
2003-05-01,1.1527377521613833,0.86,0.8675,0.86,0.46%
2003-06-01,1.1520737327188941,0.86,0.868,0.86,0.06%
2003-07-01,1.183431952662722,0.84,0.845,0.84,-2.65%
2003-08-01,1.1695906432748537,0.85,0.855,0.85,1.18%
2003-09-01,1.1695906432748537,0.845,0.855,0.845,0.00%
2003-10-01,1.1712344811431248,0.8425,0.8538,0.8425,-0.14%
2003-11-01,1.1363636363636365,0.8724,0.88,0.8724,3.07%
2003-12-01,1.1560693641618498,0.855,0.865,0.855,-1.70%
2004-01-01,1.1527377521613833,0.855,0.8675,0.855,0.29%
2004-02-01,1.1363636363636365,0.87,0.88,0.87,1.44%
2004-03-01,1.1346873936230568,0.8725,0.8813,0.8725,0.15%
2004-04-01,1.1299435028248588,0.875,0.885,0.875,0.42%
2004-05-01,1.1101243339253997,0.8901,0.9008,0.8901,1.79%
2004-06-01,1.1111111111111112,0.89,0.9,0.89,-0.09%
2004-07-01,1.1071744906997343,0.8931,0.9032,0.8931,0.36%
2004-08-01,1.1096316023080337,0.89,0.9012,0.89,-0.22%
2004-09-01,1.1098779134295227,0.891,0.901,0.891,-0.02%
2004-10-01,1.1111111111111112,0.89,0.9,0.89,-0.11%
2004-11-01,1.1086474501108647,0.892,0.902,0.892,0.22%
2004-12-01,1.1111111111111112,0.89,0.9,0.89,-0.22%
2005-01-01,1.1111111111111112,0.89,0.9,0.89,0.00%
2005-02-01,1.1088933244621866,0.8915,0.9018,0.8915,0.20%
2005-03-01,1.10803324099723,0.8925,0.9025,0.8925,0.08%
2005-04-01,1.1077877478675087,0.8925,0.9027,0.8925,0.02%
2005-05-01,1.10803324099723,0.8925,0.9025,0.8925,-0.02%
2005-06-01,1.1064394777605664,0.8925,0.9038,0.8925,0.14%
2005-07-01,1.1061946902654867,0.894,0.904,0.894,0.02%
2005-08-01,1.1049723756906078,0.895,0.905,0.895,0.11%
2005-09-01,1.1035091591260207,0.8975,0.9062,0.8975,0.13%
2005-10-01,1.1019283746556474,0.8975,0.9075,0.8975,0.14%
2005-11-01,1.0989010989010988,0.905,0.91,0.905,0.28%
2005-12-01,1.0989010989010988,0.905,0.91,0.905,0.00%
2006-01-01,1.0995052226498077,0.9075,0.9095,0.9075,-0.05%
2006-02-01,1.0940919037199124,0.909,0.914,0.909,0.49%
2006-03-01,1.0913456291607553,0.9155,0.9163,0.9155,0.25%
2006-04-01,1.0940919037199124,0.91,0.914,0.91,-0.25%
2006-05-01,1.092537965694308,0.9125,0.9153,0.9125,0.14%
2006-06-01,1.0917030567685588,0.911,0.916,0.911,0.08%
2006-07-01,1.0840108401084012,0.9195,0.9225,0.9195,0.71%
2006-08-01,1.0869565217391304,0.915,0.92,0.915,-0.27%
2006-09-01,1.0834236186348862,0.92,0.923,0.92,0.33%
2006-10-01,1.0818998160770312,0.9221,0.9243,0.9221,0.14%
2006-11-01,1.085304970696766,0.9193,0.9214,0.9193,-0.31%
2006-12-01,1.0842459069717012,0.9211,0.9223,0.9211,0.10%
2007-01-01,1.0857763300760044,0.916,0.921,0.916,-0.14%
2007-02-01,1.0758472296933836,0.9275,0.9295,0.9275,0.92%
2007-03-01,1.0795638562020944,0.9247,0.9263,0.9247,-0.34%
